기간,대분류,분류,대중교통 이용만족도,버스,지하철,택시
2005,종로구,종로구,6.23,6.61,7.1,4.97
2005,중구,중구,5.7,5.93,5.97,5.18
2005,용산구,용산구,5.84,5.78,6.74,4.99
2005,성동구,성동구,5.09,5.07,6.12,4.07
2005,광진구,광진구,5.76,6.13,6.33,4.82
2005,동대문구,동대문구,5.81,5.99,6.11,5.32
2005,중랑구,중랑구,5.08,4.93,5.95,4.37
2005,성북구,성북구,5.8,6.31,6.7,4.38
2005,강북구,강북구,5.45,5.82,6.13,4.39
2005,도봉구,도봉구,5.21,5.5,5.91,4.2
2005,노원구,노원구,5.71,5.59,6.64,4.9
2005,은평구,은평구,5.5,5.45,6.18,4.88
2005,서대문구,서대문구,5.7,6.11,6.63,4.37
2005,마포구,마포구,5.53,5.46,6.52,4.62
2005,양천구,양천구,5.34,5.29,6.03,4.69
2005,강서구,강서구,5.38,5.44,6.24,4.47
2005,구로구,구로구,5.6,5.67,6.3,4.81
2005,금천구,금천구,5.22,5.53,5.66,4.47
2005,영등포구,영등포구,5.44,5.42,6.26,4.65
2005,동작구,동작구,5.6,5.62,6.25,4.94
2005,관악구,관악구,5.24,5.37,5.49,4.84
2005,서초구,서초구,5.37,5.5,6.14,4.47
2005,강남구,강남구,5.84,5.75,6.57,5.22
2005,송파구,송파구,5.51,5.62,6.26,4.64
2005,강동구,강동구,5.61,5.38,6.58,4.87
2006,서울시,서울시,5.6,5.66,6.3,4.83
2006,성별,남자,5.58,5.64,6.31,4.81
2006,성별,여자,5.61,5.69,6.3,4.86
2006,연령별,10대,5.66,5.66,6.34,4.98
2006,연령별,20대,5.56,5.65,6.26,4.77
2006,연령별,30대,5.38,5.42,6.1,4.62
2006,연령별,40대,5.64,5.71,6.32,4.88
2006,연령별,50대,5.78,5.93,6.49,4.91
2006,연령별,60대 이상,5.75,5.74,6.45,5.05
2006,학력별,중졸 이하,5.72,5.79,6.38,5
2006,학력별,고졸 이하,5.66,5.73,6.35,4.91
2006,학력별,전문대 이하,5.46,5.52,6.17,4.68
2006,학력별,4년제 이하,5.55,5.61,6.28,4.74
2006,학력별,대학원 이상,5.31,5.34,6.07,4.52
2006,소득별,100 만원 미만,5.61,5.71,6.41,4.71
2006,소득별,100-200만 미만,5.6,5.67,6.3,4.82
2006,소득별,200-300만 미만,5.57,5.63,6.25,4.82
2006,소득별,300-400만 미만,5.66,5.73,6.33,4.91
2006,소득별,400-500만 미만,5.66,5.74,6.34,4.9
2006,소득별,500만 이상,5.52,5.53,6.27,4.76
2006,혼인상태별,기혼,5.6,5.65,6.32,4.84
2006,혼인상태별,미혼,5.58,5.67,6.27,4.81
2006,혼인상태별,이혼/별거,5.65,5.76,6.39,4.8
2006,혼인상태별,사별,5.63,5.72,6.25,4.94
2006,지역대분류,도심권,5.81,5.96,6.32,5.16
2006,지역대분류,동북권,5.54,5.69,6.29,4.64
2006,지역대분류,서북권,5.44,5.56,6.37,4.41
2006,지역대분류,서남권,5.59,5.72,6.19,4.86
2006,지역대분류,동남권,5.74,5.52,6.45,5.27
2006,종로구,종로구,5.79,6.08,6.32,4.95
2006,중구,중구,5.87,5.96,6.83,4.82
2006,용산구,용산구,5.79,5.86,6.02,5.5
2006,성동구,성동구,4.99,4.91,5.96,4.09
2006,광진구,광진구,5.36,5.33,6.07,4.68
2006,동대문구,동대문구,6.18,6.06,6.62,5.86
2006,중랑구,중랑구,5.5,5.49,6.37,4.65
2006,성북구,성북구,5.43,5.76,6.23,4.31
2006,강북구,강북구,5.33,5.79,5.9,4.32
2006,도봉구,도봉구,5.34,5.73,5.91,4.39
2006,노원구,노원구,5.91,6.13,6.85,4.74
2006,은평구,은평구,5.62,5.74,6.67,4.45
2006,서대문구,서대문구,5.3,5.52,6.01,4.39
2006,마포구,마포구,5.36,5.38,6.33,4.38
2006,양천구,양천구,5.73,5.97,6,5.22
2006,강서구,강서구,5.33,5.34,6.23,4.42
2006,구로구,구로구,5.58,5.69,6.04,5
2006,금천구,금천구,5.3,5.64,5.86,4.38
2006,영등포구,영등포구,6.15,6.14,6.9,5.42
2006,동작구,동작구,5.42,5.55,6.11,4.6
2006,관악구,관악구,5.6,5.79,6.14,4.87
2006,서초구,서초구,5.17,5.22,5.95,4.34
2006,강남구,강남구,5.65,5.52,6.35,5.08
2006,송파구,송파구,5.81,5.55,6.54,5.33
2006,강동구,강동구,6.29,5.74,6.9,6.23
2007,서울시,서울시,5.75,6,6.33,4.92
2007,성별,남자,5.79,6.04,6.39,4.93
2007,성별,여자,5.71,5.95,6.27,4.91
2007,연령별,10대,5.74,5.93,6.36,4.94
2007,연령별,20대,5.73,5.98,6.3,4.92
2007,연령별,30대,5.58,5.84,6.18,4.74
2007,연령별,40대,5.76,6.04,6.32,4.92
2007,연령별,50대,5.9,6.2,6.49,5.02
2007,연령별,60대 이상,5.85,6.04,6.44,5.09
2007,학력별,중졸 이하,5.75,5.97,6.28,4.99
2007,학력별,고졸 이하,5.79,6.04,6.37,4.96
2007,학력별,전문대 이하,5.65,5.94,6.25,4.76
2007,학력별,4년제 이하,5.78,6.03,6.37,4.95
2007,학력별,대학원 이상,5.59,5.77,6.29,4.71
2007,소득별,100 만원 미만,5.74,5.89,6.31,5.01
2007,소득별,100-200만 미만,5.69,5.87,6.28,4.92
2007,소득별,200-300만 미만,5.71,5.98,6.27,4.87
2007,소득별,300-400만 미만,5.76,5.99,6.35,4.93
2007,소득별,400-500만 미만,5.79,6.05,6.39,4.94
2007,소득별,500만 이상,5.75,5.99,6.35,4.93
2007,혼인상태별,기혼,5.75,6.01,6.35,4.9
2007,혼인상태별,미혼,5.75,6,6.35,4.92
2007,혼인상태별,이혼/별거,5.7,5.92,6.18,5.01
2007,혼인상태별,사별,5.72,5.94,6.13,5.09
2007,지역대분류,도심권,5.67,5.96,6.31,4.74
2007,지역대분류,동북권,5.72,6.06,6.33,4.76
2007,지역대분류,서북권,5.74,6.06,6.4,4.75
2007,지역대분류,서남권,5.79,5.96,6.25,5.16
2007,지역대분류,동남권,5.76,5.92,6.41,4.96
2007,종로구,종로구,5.96,6.35,6.27,5.26
2007,중구,중구,5.97,6.23,6.78,4.89
2007,용산구,용산구,5.3,5.54,6.07,4.29
2007,성동구,성동구,5.52,5.43,6.65,4.47
2007,광진구,광진구,5.72,5.81,6.63,4.72
2007,동대문구,동대문구,6.17,6.26,6.53,5.72
2007,중랑구,중랑구,5.85,6.22,6.39,4.92
2007,성북구,성북구,5.47,6.12,6.17,4.12
2007,강북구,강북구,6.49,7.47,6.76,5.24
2007,도봉구,도봉구,5.45,5.92,6.09,4.34
2007,노원구,노원구,5.36,5.55,5.8,4.73
